neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
1542	0.888600972	8.471206201	0.609862542	0.445159086	0.995803853	1542	0.99284724	CD14 Monocytes	0.960251046
1647	1.143798715	9.449754545	0.608675011	0.445595196	0.995803853	1647	0.99284724	CD8 Naive	0.996415771
1975	-0.847079332	9.022709454	0.605387425	0.446557488	0.995803853	1975	0.99284724	CD56 NK	0.823529412
1673	-1.171089721	9.545294286	0.6045463	0.447116815	0.995803853	1673	0.99284724	CD8 Activated	0.95467033
1860	-0.887523677	7.889708681	0.603679783	0.447188977	0.995803853	1860	0.99284724	CD16 Monocytes	0.996309963
808	0.98135055	8.880671028	0.602737303	0.447786164	0.995803853	808	0.99284724	CD8 Activated	0.753488372
1331	0.863974927	9.055310602	0.600909802	0.448216399	0.995803853	1331	0.99284724	CD16 NK	0.996070727
1799	-1.277960096	7.494687867	0.600927978	0.448457259	0.995803853	1799	0.99284724	CD14 Monocytes	0.971223022
1147	-1.030804029	9.10903261	0.599961841	0.448816277	0.995803853	1147	0.99284724	CD16 NK	0.979667283
1729	0.879959038	8.395963818	0.598901515	0.449210832	0.995803853	1729	0.99284724	Intermediate Monocytes	0.913461538
1567	-0.931499149	9.193896434	0.597008222	0.449670043	0.995803853	1567	0.99284724	CD16 NK	0.956006768
1104	0.883474283	8.589634886	0.597640881	0.449680656	0.995803853	1104	0.99284724	CD16 NK	0.986413043
667	1.022127818	8.470730472	0.59507207	0.450640499	0.995803853	667	0.99284724	CD8 Activated	0.924646782
854	-0.888334915	8.534241849	0.594771322	0.450753092	0.995803853	854	0.99284724	CD4 Activated	0.979289941
747	0.738561559	8.893742034	0.593505063	0.450981776	0.995803853	747	0.99284724	CD14 Monocytes	0.988617886
448	1.015462845	8.309668966	0.591975221	0.451802084	0.995803853	448	0.99284724	CD14 Monocytes	1
1578	-1.088716699	8.818085871	0.591941213	0.451814867	0.995803853	1578	0.99284724	CD4 Activated	0.835227273
646	-1.095958516	7.866664102	0.591319622	0.452048615	0.995803853	646	0.99284724	CD16 NK	0.965703971
627	-0.838345969	8.310637968	0.59045603	0.452128536	0.995803853	627	0.99284724	Intermediate Monocytes	0.946666667
2049	-0.933898709	9.645304126	0.589930778	0.452326566	0.995803853	2049	0.99284724	CD4 Naive	0.74201788
2150	0.874788084	8.601225019	0.589715503	0.452652754	0.995803853	2150	0.99284724	CD8 Activated	0.958677686
383	-1.326547546	9.404689339	0.589530381	0.452722559	0.995803853	383	0.99284724	CD8 Activated	0.986038394
262	0.800786797	8.704717412	0.588555643	0.452867836	0.995803853	262	0.99284724	CD14 Monocytes	0.8734375
1887	-0.799583536	8.848861107	0.587532442	0.453232582	0.995803853	1887	0.99284724	Mixed	0.504739336
827	-1.123474348	7.712180162	0.587407093	0.453524457	0.995803853	827	0.99284724	CD14 Monocytes	0.983529412
1583	-1.230208647	9.328670958	0.587132494	0.453628334	0.995803853	1583	0.99284724	CD8 Activated	0.996815287
297	1.198289063	9.593400888	0.586209513	0.453977769	0.995803853	297	0.99284724	CD8 Naive	0.966929134
1938	0.959680509	8.341763003	0.586148849	0.454000751	0.995803853	1938	0.99284724	CD14 Monocytes	0.994505495
1357	0.968516739	8.163175955	0.58298768	0.455200991	0.995803853	1357	0.99284724	CD16 NK	0.717228464
1259	0.886688421	9.034514952	0.582195927	0.455326591	0.995803853	1259	0.99284724	CD16 NK	0.869158879
597	-0.95663743	8.790294111	0.582089014	0.455543148	0.995803853	597	0.99284724	CD16 NK	0.796536797
31	-0.824143912	9.041338153	0.580153378	0.456038831	0.995803853	31	0.99284724	CD4 Activated	0.889361702
922	-0.833062254	8.917218659	0.579005926	0.456477759	0.995803853	922	0.99284724	CD16 NK	1
1515	0.962756674	9.062937401	0.576451489	0.457699225	0.995803853	1515	0.99284724	CD14 Monocytes	0.996677741
2218	0.921733879	9.375734589	0.575275131	0.45790968	0.995803853	2218	0.99284724	CD4 Activated	0.850649351
864	-0.78074991	8.730481333	0.575121347	0.457968862	0.995803853	864	0.99284724	CD4 Activated	0.975609756
110	-0.825419176	9.089894601	0.574167456	0.458336238	0.995803853	110	0.99284724	Mixed	0.572139303
545	-1.116803613	9.020727569	0.57394305	0.458663975	0.995803853	545	0.99284724	CD4 Naive	0.719745223
1625	-0.776116959	8.671638114	0.573036	0.45877263	0.995803853	1625	0.99284724	CD4 Activated	0.983981693
2185	-0.967392163	8.990839089	0.5705659	0.459968131	0.995803853	2185	0.99284724	CD4 Activated	0.856777494
2067	-0.726081675	8.506384972	0.569657453	0.460079779	0.995803853	2067	0.99284724	Mixed	0.531453362
753	-1.145616085	9.46767835	0.569702563	0.460302508	0.995803853	753	0.99284724	CD8 Activated	0.945945946
1050	-0.876715872	8.413599048	0.569511828	0.460376435	0.995803853	1050	0.99284724	CD8 Activated	0.993927126
766	0.847658298	9.324828881	0.567925943	0.460752074	0.995803853	766	0.99284724	Mixed	0.54893617
1996	-0.978422981	9.617528554	0.562982963	0.462680242	0.995803853	1996	0.99284724	Mixed	0.620734908
20	-0.952172008	9.449072013	0.562318547	0.462940436	0.995803853	20	0.99284724	CD16 NK	0.993948563
232	-0.980732277	8.227921914	0.561414011	0.463533277	0.995803853	232	0.99284724	CD14 Monocytes	0.873170732
1351	0.757939863	8.258040695	0.559483368	0.464053456	0.995803853	1351	0.99284724	Mixed	0.651376147
134	-1.432358039	9.237890146	0.559693024	0.464208806	0.995803853	134	0.99284724	CD8 Activated	0.992248062
773	1.259398831	9.495228895	0.559133546	0.464428766	0.995803853	773	0.99284724	CD8 Naive	0.960413081
1946	0.802018774	8.459249772	0.55839842	0.464718046	0.995803853	1946	0.99284724	CD16 Monocytes	1
2031	1.05692764	8.763379646	0.558397128	0.464718555	0.995803853	2031	0.99284724	CD14 Monocytes	1
310	-1.171531298	8.82841174	0.557975845	0.464884469	0.995803853	310	0.99284724	Mixed	0.589005236
1120	-0.820058203	8.254172836	0.555794455	0.465508288	0.995803853	1120	0.99284724	CD16 NK	1
2250	-0.781768099	8.692895645	0.555435058	0.465650432	0.995803853	2250	0.99284724	CD4 Naive	0.984581498
1564	-0.880412405	8.529607168	0.555673424	0.465792979	0.995803853	1564	0.99284724	Activated B Cells	0.888324873
803	0.838230139	8.997481706	0.552653265	0.466773607	0.995803853	803	0.99284724	CD14 Monocytes	0.974632844
