neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
239	0.421487742	9.404212224	0.089120646	0.770388862	0.987779573	239	0.984567966	Activated B Cells	0.933980583
528	0.348478745	9.235818559	0.088877454	0.770665212	0.987779573	528	0.984567966	Mixed	0.436144578
639	-0.379016655	9.39967721	0.088316261	0.771394796	0.987779573	639	0.984567966	CD4 Activated	0.961904762
376	-0.264189158	8.877526124	0.088198661	0.771515143	0.987779573	376	0.984567966	Mixed	0.658703072
349	-0.313267209	9.511644943	0.087521194	0.772366993	0.987779573	349	0.984567966	cDC	0.986984816
50	-0.395373016	9.095699047	0.087495422	0.772558323	0.987779573	50	0.984567966	CD14 Monocytes	0.994252874
499	0.39449276	9.448051444	0.087296214	0.77267767	0.987779573	499	0.984567966	CD16 NK	0.914225941
741	-0.405467404	9.483747481	0.086227334	0.774148285	0.987779573	741	0.984567966	Activated B Cells	0.994023904
390	-0.39220017	10.27400666	0.085332179	0.775301127	0.987779573	390	0.984567966	CD8 Activated	0.801762115
433	0.312113362	9.30781376	0.084894604	0.775704228	0.987779573	433	0.984567966	Mixed	0.589977221
847	0.363808663	9.444214689	0.084639853	0.776048516	0.987779573	847	0.984567966	Mixed	0.464692483
194	0.399635884	9.420558556	0.083759316	0.777190514	0.987779573	194	0.984567966	CD8 Activated	0.944700461
564	0.278984169	8.785410855	0.083494127	0.777506677	0.987779573	564	0.984567966	Memory B Cells	0.972972973
720	0.377391935	9.210086079	0.083293043	0.777793148	0.987779573	720	0.984567966	Activated B Cells	0.988789238
1027	0.48933205	9.591911797	0.083211061	0.778027634	0.987779573	1027	0.984567966	CD14 Monocytes	0.986641221
632	0.413988276	9.566625308	0.083200026	0.778041917	0.987779573	632	0.984567966	CD14 Monocytes	0.915254237
1201	0.340945616	8.722936645	0.083161569	0.778091702	0.987779573	1201	0.984567966	Mixed	0.360128617
432	-0.312913779	9.881411013	0.082856366	0.778332951	0.987779573	432	0.984567966	Mixed	0.518638574
1127	0.342139004	9.645299109	0.081746208	0.77977956	0.987779573	1127	0.984567966	Mixed	0.383512545
