neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
829	-2.123949981	8.646099024	5.206133345	0.034162323	0.685330762	829	0.670959263	Activated B Cells	0.991836735
375	-2.316096181	8.301515449	5.160829955	0.034864017	0.685330762	375	0.670959263	CD4 Naive	0.968421053
411	-2.314637038	9.354259249	5.157502336	0.0349162	0.685330762	411	0.670959263	CD4 Activated	0.977604674
2438	-2.466796264	8.022973868	5.17828569	0.034926554	0.685330762	2438	0.670959263	Activated B Cells	0.938080495
1613	2.220467046	8.343706576	5.153225582	0.034983398	0.685330762	1613	0.670959263	CD8 Activated	0.99591002
139	2.34017702	8.34772157	5.151875132	0.035048483	0.685330762	139	0.670959263	CD8 Activated	1
48	-2.602010993	9.013953939	5.167427502	0.035096259	0.685330762	48	0.670959263	CD14 Monocytes	0.922942207
2269	-3.250647914	8.441122101	5.163147051	0.035163417	0.685330762	2269	0.670959263	CD4 Activated	0.965765766
1959	-3.420520205	8.49311104	5.162213421	0.035178084	0.685330762	1959	0.670959263	CD4 Activated	0.961937716
2576	-3.013839851	8.816822627	5.161576688	0.035188092	0.685330762	2576	0.670959263	CD4 Activated	0.954166667
2197	2.520804456	9.146128175	5.156340068	0.035270517	0.685330762	2197	0.670959263	CD4 Naive	0.900420757
1476	2.150151516	7.830481281	5.126569558	0.035405559	0.685330762	1476	0.670959263	CD8 Activated	0.971590909
311	-2.079076223	9.09495188	5.121162367	0.0354919	0.685330762	311	0.670959263	CD4 Activated	0.96039604
2454	-3.531641832	8.294032749	5.132502729	0.035648511	0.685330762	2454	0.670959263	CD4 Activated	0.974
1827	-2.79333659	8.920931696	5.128266348	0.035716171	0.685330762	1827	0.670959263	CD4 Activated	0.95140665
2548	-2.172099481	8.482451378	5.095658091	0.035902389	0.685330762	2548	0.670959263	CD4 Activated	0.751879699
1563	-2.911805184	8.6190693	5.114033808	0.035944555	0.685330762	1563	0.670959263	CD16 Monocytes	0.992874109
364	1.999721394	8.154700624	5.087022689	0.036042597	0.685330762	364	0.670959263	CD8 Activated	0.911764706
1132	-3.369473209	8.222042447	5.103589978	0.036113202	0.685330762	1132	0.670959263	CD4 Activated	0.945263158
1104	-3.424022254	8.580438229	5.101701104	0.0361438	0.685330762	1104	0.670959263	CD4 Activated	0.959216966
1156	-2.970668274	7.786405271	5.07875999	0.036517793	0.685330762	1156	0.670959263	CD16 Monocytes	0.982683983
2496	2.353802251	9.023917612	5.074317413	0.036590727	0.685330762	2496	0.670959263	CD4 Naive	0.764984227
817	-1.98514571	8.696397198	5.041057655	0.036799472	0.685330762	817	0.670959263	CD4 Activated	0.904841402
350	-3.374016847	8.607699626	5.040413961	0.037152822	0.685330762	350	0.670959263	CD4 Activated	0.979166667
1141	-2.642897556	8.803061247	5.038259684	0.03718887	0.685330762	1141	0.670959263	CD4 Activated	0.971711457
1329	-3.115455931	8.536856474	5.032702811	0.037282039	0.685330762	1329	0.670959263	CD14 Monocytes	0.987341772
2114	-3.327901568	8.940720866	5.010521791	0.037656597	0.685330762	2114	0.670959263	CD4 Activated	0.948232323
1723	2.125650865	8.902378408	4.975105312	0.037917284	0.685330762	1723	0.670959263	CD4 Naive	0.823248408
394	-2.070707978	9.009232745	4.963834312	0.038112158	0.685330762	394	0.670959263	Activated B Cells	0.942989214
1080	-3.01381139	8.569946735	4.95713042	0.038575934	0.685330762	1080	0.670959263	CD4 Activated	0.955518946
893	-3.369871634	8.37755522	4.950751701	0.038687472	0.685330762	893	0.670959263	CD4 Activated	0.938547486
1778	-2.312501407	8.385627201	4.940710569	0.038689745	0.685330762	1778	0.670959263	CD4 Activated	0.889534884
1482	-2.505162114	7.813079415	4.947750802	0.038740073	0.685330762	1482	0.670959263	Mixed	0.608163265
1112	-3.030530745	7.504194296	4.918223441	0.03926202	0.685330762	1112	0.670959263	CD4 Activated	0.989247312
1146	1.988553986	8.597248111	4.895016958	0.039327049	0.685330762	1146	0.670959263	CD8 Activated	0.980769231
760	-2.908943741	9.042228167	4.869277679	0.040145017	0.685330762	760	0.670959263	CD4 Activated	0.974388824
2529	-2.723700347	8.738548349	4.854180305	0.040421942	0.685330762	2529	0.670959263	CD4 Activated	0.977941176
2439	-3.002044464	8.8554228	4.832547462	0.04082256	0.685330762	2439	0.670959263	CD16 Monocytes	0.993902439
1573	2.480290967	8.476053752	4.789209729	0.041638864	0.685330762	1573	0.670959263	CD8 Activated	0.993265993
546	-3.217501716	8.074068984	4.785985633	0.041700335	0.685330762	546	0.670959263	CD4 Activated	0.988290398
1009	-2.005419927	8.223828432	4.752704563	0.041982169	0.685330762	1009	0.670959263	CD4 Activated	0.965116279
2415	2.208432896	8.487370216	4.751628629	0.042093218	0.685330762	2415	0.670959263	CD4 Naive	0.923250564
2505	2.534499674	8.545334892	4.759422063	0.04221077	0.685330762	2505	0.670959263	CD8 Activated	0.981228669
2029	2.284807481	8.59087699	4.742456309	0.042540517	0.685330762	2029	0.670959263	CD4 Naive	0.864646465
2423	-2.84784888	8.685413586	4.742230027	0.042544935	0.685330762	2423	0.670959263	CD16 Monocytes	0.991051454
1627	2.081960475	8.61113012	4.717284871	0.042674407	0.685330762	1627	0.670959263	CD4 Naive	0.896484375
2369	-2.897454162	8.171288069	4.731404995	0.042756896	0.685330762	2369	0.670959263	CD16 Monocytes	0.993442623
2641	2.055618404	8.376356492	4.705789784	0.042901861	0.685330762	2641	0.670959263	CD8 Activated	0.972920696
1366	-2.99668281	7.97664065	4.714067406	0.0430989	0.685330762	1366	0.670959263	CD4 Activated	0.982188295
21	-2.207992531	8.466192709	4.689903886	0.043341715	0.685330762	21	0.670959263	CD4 Activated	0.977653631
1577	-2.523216047	8.776875941	4.700528792	0.043368144	0.685330762	1577	0.670959263	CD4 Activated	0.978229318
1968	-1.9923043	8.531376916	4.675073006	0.043516478	0.685330762	1968	0.670959263	CD4 Activated	0.905730129
1157	-2.87979412	8.541334254	4.688843872	0.043602071	0.685330762	1157	0.670959263	CD4 Activated	0.955445545
1593	-2.593896095	7.845559096	4.684733942	0.043684694	0.685330762	1593	0.670959263	CD4 Activated	0.94972067
1605	-2.837968835	8.295222653	4.65728276	0.044241169	0.685330762	1605	0.670959263	CD16 Monocytes	0.985119048
2059	2.127279132	9.142263273	4.63594058	0.044314111	0.685330762	2059	0.670959263	CD4 Naive	0.855280313
1951	1.977279638	8.229600298	4.627623323	0.044485786	0.685330762	1951	0.670959263	CD8 Activated	0.800458716
2501	-2.603240685	8.488155753	4.61762877	0.045059411	0.685330762	2501	0.670959263	CD16 Monocytes	1
1436	2.357737683	8.00557423	4.615720541	0.045099221	0.685330762	1436	0.670959263	CD16 NK	0.968292683
11	-2.363747824	8.356850004	4.555231685	0.046382316	0.685330762	11	0.670959263	CD4 Activated	0.976331361
2656	-2.208166553	8.178554254	4.536210339	0.046565945	0.685330762	2656	0.670959263	CD4 Naive	0.98185941
2444	-2.969914159	8.476920461	4.545919158	0.046583549	0.685330762	2444	0.670959263	CD4 Activated	0.971681416
1449	-2.341814229	7.8315945	4.539850868	0.046715217	0.685330762	1449	0.670959263	CD4 Activated	0.966005666
152	-3.148193623	8.730771672	4.497585447	0.047644208	0.685330762	152	0.670959263	CD4 Activated	0.979411765
2264	-3.361064313	8.349161572	4.471695123	0.048223741	0.685330762	2264	0.670959263	CD4 Activated	0.929254302
1599	-1.898663003	9.181591897	4.444249417	0.048471124	0.685330762	1599	0.670959263	Activated B Cells	0.977748691
2225	1.907409977	8.189759813	4.440570661	0.048555158	0.685330762	2225	0.670959263	Mixed	0.478571429
164	-2.881997529	8.600118372	4.446606967	0.048793049	0.685330762	164	0.670959263	CD14 Monocytes	0.931707317
2243	-2.926770803	8.071990801	4.434848516	0.049062529	0.685330762	2243	0.670959263	CD4 Activated	0.983568075
290	2.11813722	8.142334759	4.377157813	0.050030266	0.685330762	290	0.670959263	CD8 Activated	0.990804598
694	-2.83055853	9.022914812	4.379793202	0.050347243	0.685330762	694	0.670959263	CD16 Monocytes	0.991103203
2333	1.828017885	8.05525497	4.35121672	0.050648463	0.685330762	2333	0.670959263	CD8 Activated	0.706989247
1415	-1.87735768	9.203337788	4.344532336	0.050809174	0.685330762	1415	0.670959263	CD4 Activated	0.966507177
1512	-2.887403906	8.419100214	4.354160229	0.050958546	0.685330762	1512	0.670959263	CD14 Monocytes	0.96961326
485	-2.003748205	8.489274181	4.333515941	0.051075315	0.685330762	485	0.670959263	CD4 Activated	0.986988848
598	-2.904069619	8.460330117	4.34544929	0.051168227	0.685330762	598	0.670959263	CD4 Activated	0.941176471
1153	-2.679224131	8.679607217	4.343432322	0.051216918	0.685330762	1153	0.670959263	CD14 Monocytes	0.970114943
2510	-1.875507178	9.150675996	4.321045256	0.051378523	0.685330762	2510	0.670959263	Activated B Cells	0.974666667
