Cluster	cellType	Time	Pathway	nlp	GeneRatio
CD8-Activated:NLR:post:NF-kappa B signaling pathway	CD8-Activated	post	NF-kappa B signaling pathway	1.30668654818477	0.0263653483992467
CD8-Activated:NLR:post:NOD-like receptor signaling pathway	CD8-Activated	post	NOD-like receptor signaling pathway	2.52053638375193	0.0489642184557439
CD8-Activated:NLR:post:Natural killer cell mediated cytotoxicity	CD8-Activated	post	Natural killer cell mediated cytotoxicity	1.39968856080729	0.032015065913371
CD8-Activated:NLR:post:Nucleotide metabolism	CD8-Activated	post	Nucleotide metabolism	0.769105760866553	0.0188323917137476
CD8-Activated:NLR:post:Oxidative phosphorylation	CD8-Activated	post	Oxidative phosphorylation	-4.33544239796974	-0.0649819494584837
CD8-Activated:NLR:post:RNA degradation	CD8-Activated	post	RNA degradation	-0.716605887268842	-0.0252707581227437
CD8-Activated:NLR:post:Ribosome	CD8-Activated	post	Ribosome	-12.6487445533657	-0.111913357400722
CD8-Activated:NLR:post:T cell receptor signaling pathway	CD8-Activated	post	T cell receptor signaling pathway	-1.55687179496979	-0.0397111913357401
CD8-Activated:NLR:post:Th1 and Th2 cell differentiation	CD8-Activated	post	Th1 and Th2 cell differentiation	0.843718637606863	0.0207156308851224
CD8-Activated:NLR:pre:Antigen processing and presentation	CD8-Activated	pre	Antigen processing and presentation	-1.21257517546103	-0.0298507462686567
CD8-Activated:NLR:pre:Apoptosis	CD8-Activated	pre	Apoptosis	1.49713883998036	0.0336283185840708
CD8-Activated:NLR:pre:Cell adhesion molecules	CD8-Activated	pre	Cell adhesion molecules	-0.772195676750597	-0.0373134328358209
CD8-Activated:NLR:pre:Ferroptosis	CD8-Activated	pre	Ferroptosis	-0.994724487338185	-0.0186567164179104
CD8-Activated:NLR:pre:Graft-versus-host disease	CD8-Activated	pre	Graft-versus-host disease	-0.970622387668417	-0.0186567164179104
CD8-Activated:NLR:pre:Leukocyte transendothelial migration	CD8-Activated	pre	Leukocyte transendothelial migration	1.52684041515031	0.0300884955752212
CD8-Activated:NLR:pre:Lysosome	CD8-Activated	pre	Lysosome	2.00159468958569	0.0371681415929204
CD8-Activated:NLR:pre:Mitophagy - animal	CD8-Activated	pre	Mitophagy - animal	-1.28341845516486	-0.0298507462686567
CD8-Activated:NLR:pre:NF-kappa B signaling pathway	CD8-Activated	pre	NF-kappa B signaling pathway	0.836547623137468	0.0230088495575221
CD8-Activated:NLR:pre:NOD-like receptor signaling pathway	CD8-Activated	pre	NOD-like receptor signaling pathway	2.29439072488118	0.0495575221238938
CD8-Activated:NLR:pre:Natural killer cell mediated cytotoxicity	CD8-Activated	pre	Natural killer cell mediated cytotoxicity	1.55162560163737	0.0336283185840708
CD8-Activated:NLR:pre:Oxidative phosphorylation	CD8-Activated	pre	Oxidative phosphorylation	-1.37287988823355	-0.0447761194029851
CD8-Activated:NLR:pre:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD8-Activated	pre	PD-L1 expression and PD-1 checkpoint pathway in cancer	-1.28341845516486	-0.0335820895522388
CD8-Activated:NLR:pre:Phosphatidylinositol signaling system	CD8-Activated	pre	Phosphatidylinositol signaling system	2.20233298327523	0.031858407079646
