pre_up	pre_down	post_up	post_down
		NUCB1	NUTM2A-AS1
		HMGN4	NFE2L2
		IDH3G	CPNE1
		RPS20	IRF2BP2
		CCND2	MAPK8IP3
		ANXA2R	CDKN1B
		SDHB	CREBBP
		RPA2	FRG1
		YIPF3	MXD4
		CD47	GTPBP6
		PSMA3	TRERF1
		GPI	KBTBD2
		EIF3G	SIAH2
		ERI3	ITCH
		MDM2	S100A6
		LTA4H	NPRL3
		CNDP2	COG3
		IKBKG	RPL39
		PARP1	NUP58
		RAB10	SLC4A7
		ADGRG5	XPO4
		CCT8	COX19
		C1orf43	WDTC1
		CMC2	LIME1
		BST2	RPL36
		ATP5PB	UQCRQ
		TRIP12	LYAR
		NUDT5	REX1BD
		MCTS1	CTC1
		HSPB11	EMD
		CANX	COG1
		RAC2	HCFC1
		ATRAID	MUTYH
		GSDMD	CELF1
		MAGED2	RALGAPA1
		PRMT1	PNPLA6
		GSTP1	BMI1
		ACTR2	EP300
		RPN2	CREBRF
		ARF4	ZFAND2A
		STOM	FBXO21
		SAMD3	NPTN
		MAT2B	TAF11
		FKBP3	FTL
		PDIA3	AC005332.5
		CMTM3	SREK1IP1
		CIAO1	MCM7
		LYPLA2	GMFB
		NEAT1	ERO1B
		RPL13A	UBE2Q2
		PDIA4	KIAA1468
		ADRM1	RAB1A
		CYTOR	KIR2DL3
		GTF3C6	VPS53
		LAT	SHOC2
		ORMDL1	IQSEC1
		TOP1	DUT
		SFT2D2	TP53I13
		GMFG	ECD
		RAB8B	ATP5MD
		SERBP1	OVCA2
		GNAI3	BTG1
