""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SDHB	4.85719090646022	-2.18345393366677e-06	0.00144264077890113	0.752957842356336	0.999765143024666
RCC2	1.99685273917516	-2.82055464580871e-06	0.00144267788362959	0.255693288225264	0.999765143024666
UBR4	1.81422148098095	-1.72494452375356e-06	0.00144267408494497	0.768635925753101	0.999765143024666
MRTO4	1.58978842830895	2.58999893473976e-06	0.00144267655036488	0.462719022442238	0.999765143024666
AKR7A2	1.98492088372602	-1.01640999674126e-06	0.0014426655469808	0.79764358564196	0.999765143024666
CAPZB	7.66175525552975	-8.21580032435403e-06	0.00144263767522892	0.321062726587149	0.999765143024666
MINOS1	5.46097180655673	8.7158230879477e-06	0.00144264922624067	0.245021457075258	0.999765143024666
MUL1	0.751720954967545	1.28516234751303e-06	0.00144268234040803	0.616843897529356	0.999765143024666
PINK1	0.925977137140486	4.77701700503962e-07	0.00144268077458848	0.814527661163524	0.999765143024666
DDOST	33.1601753902122	-3.15732441781984e-06	0.00144263069283698	0.734363361017472	0.999765143024666
HP1BP3	6.14713415298017	-3.56578459335667e-06	0.00144263732971279	0.49934828161949	0.999765143024666
EIF4G3	1.11517067438996	-1.40681938586575e-07	0.00144267965492564	0.982891175757062	0.999765143024666
ECE1	2.34606571184753	1.25842639312603e-06	0.0014426669087017	0.76624475523959	0.999765143024666
USP48	6.34238669252182	1.51937856493963e-06	0.00144263748048861	0.756095186522784	0.999765143024666
CDC42	11.1832536210601	-1.74010915916459e-05	0.00144264861236426	0.038611242233558	0.999765143024666
KDM1A	1.61667424109891	-5.51786429708449e-06	0.00144267441061089	0.345901592413411	0.999765143024666
HNRNPR	7.27626256688109	-1.17625011079018e-05	0.0014426354115562	0.128604320300786	0.999765143024666
E2F2	1.06943144249208	-6.8758262431851e-06	0.00144268950181002	0.0371321077043779	0.999765143024666
RPL11	173.185466757376	1.54701579486893e-05	0.00144218670439127	0.457104159380078	0.999765143024666
ELOA	1.52620247286947	-8.65878099607933e-06	0.00144268618808834	0.220751374409312	0.999765143024666
