""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PPIH	1.26609577369841	0.0015977389424395	0.0530222962834126	0.660231855048149	0.999336306249414
YBX1	14.4695713818714	0.010385399166813	0.0539845727542028	0.196320769618651	0.999336306249414
SVBP	0.79966587699409	0.000281973629571972	0.0530405288330216	0.957491839209439	0.999336306249414
ATP6V0B	2.5049393062881	0.00266159547024194	0.0530236249835614	0.528802094136235	0.999336306249414
RNF220	0.930752675015984	0.000608852337502441	0.0530232072203955	0.823969351353323	0.999336306249414
ARMH1	2.52312530207635	-2.97720999132113e-05	0.0528952325834259	0.992891591806168	0.999336306249414
RPS8	102.526110713617	-0.00151910418226231	0.0497980796202985	0.934939719775935	0.999336306249414
UROD	0.613793625786023	-0.000352575720448616	0.0530351221178989	0.805770778934755	0.999336306249414
PRDX1	2.76258801297968	0.00321849863864633	0.0530387587966706	0.481073257685896	0.999336306249414
AKR1A1	1.26640853137716	0.000837842625506223	0.0530009091399414	0.797818520150801	0.999336306249414
GPBP1L1	1.10635524754763	-0.00446227507908239	0.0532850364099456	0.149878549780588	0.999336306249414
UQCRH	4.19946054688561	-0.000308013599429372	0.0528177493148345	0.945305312751824	0.999336306249414
EFCAB14	0.967952266988179	0.00166113241529175	0.0530452530532978	0.592821095230234	0.999336306249414
CMPK1	1.74686327500058	-0.00119564597271526	0.052954802672485	0.776905249732876	0.999336306249414
FAF1	0.5756827720155	0.000875334966812933	0.0530463713826032	0.71517889923579	0.999336306249414
EPS15	1.2234679330967	-0.00296753743631429	0.0531126535043318	0.361643694494303	0.999336306249414
NRDC	1.22623851419748	-0.00669688362165905	0.0536149594280485	0.0519078197265093	0.999336306249414
TXNDC12	0.960857385522148	-0.00235484837113251	0.0530844747472829	0.428451296777214	0.999336306249414
BTF3L4	1.28825170658151	-9.1378398060772e-05	0.0529994902146217	0.976078558233453	0.999336306249414
TUT4	1.6384663623371	-0.00390190384163979	0.0531930388168203	0.258807624016348	0.999336306249414
SHISAL2A	0.705825877099921	-0.000424419263994322	0.0530381885567568	0.837796570548748	0.999336306249414
SCP2	1.4383859322948	0.00204857917440539	0.0530606941118673	0.511484712684491	0.999336306249414
C1orf123	0.731990548241567	0.0019464382242949	0.0530976267988591	0.470319483872523	0.999336306249414
MAGOH	1.40635614200739	0.00080828253625668	0.0529798605998064	0.820319507430557	0.999336306249414
TMEM59	2.49071357355791	-0.000866619644689118	0.0529072654601188	0.847397070209344	0.999336306249414
MRPL37	0.646787520048549	0.000148985829900959	0.0530269706182474	0.954104017231972	0.999336306249414
OMA1	0.523061895234926	0.000612377320234856	0.0530447384056886	0.827806384835362	0.999336306249414
JUN	13.2660732320267	0.00799566528827845	0.0535597291844921	0.228931652711204	0.999336306249414
TM2D1	0.670156734328151	-0.00304785833494555	0.0531309064304713	0.332822631038692	0.999336306249414
USP1	0.835778954394379	0.00487993365139038	0.0533463233805698	0.0867084233411511	0.999336306249414
JAK1	4.54992776300971	0.00415203852242048	0.0530118175602267	0.474247915933544	0.999336306249414
PDE4B	2.15366035483996	-0.00176134928399434	0.0529183454258979	0.712126138542272	0.999336306249414
MIER1	1.19586236520139	0.00162042462046562	0.0530378705520595	0.599273439256344	0.999336306249414
SERBP1	2.91095784957019	-0.00336420529732389	0.0530220815681815	0.499444669696057	0.999336306249414
SRSF11	3.07517014009342	0.00360858216531377	0.0529614342160765	0.528960707298696	0.999336306249414
ZRANB2	2.06696237242248	-0.00494499821320178	0.0532503830379592	0.260309117729376	0.999336306249414
RABGGTB	1.03309688066745	-0.000562188406680719	0.053009255986828	0.852368841479684	0.999336306249414
FUBP1	0.982955033698504	-0.000190104359082225	0.0530113702702603	0.945915022196091	0.999336306249414
LINC01781	0.764187803111078	-0.000163824287928664	0.0530521402655953	0.884354362901422	0.999336306249414
PRKACB	1.47166218778488	0.000798448919887598	0.0530000646554052	0.804093815218027	0.999336306249414
RPF1	0.591691218593989	0.000625102237031771	0.0530437608052177	0.825086143078642	0.999336306249414
GNG5	4.97185553945531	0.00416758508025336	0.0530587508154076	0.440200092478346	0.999336306249414
CTBS	1.21167780409826	0.00050847748061112	0.0530235083717659	0.860000941165834	0.999336306249414
C1orf52	0.619758710556786	0.00175031253119473	0.0530895774024885	0.487382969148058	0.999336306249414
BCL10	0.923186510134437	-0.00188764191486886	0.0530531804148436	0.540490055971578	0.999336306249414
SH3GLB1	1.37389635485475	0.00648029060185969	0.0535851348217134	0.0328115833310385	0.999336306249414
SELENOF	3.27061905664151	0.00860123274578778	0.0538522252013621	0.115690129953803	0.999336306249414
GTF2B	0.653926620003335	0.00208907090076884	0.0531054536491779	0.392227180043787	0.999336306249414
ZNF326	0.832507126343591	0.00267736712740405	0.0531340454194192	0.302487805215897	0.999336306249414
ZNF644	0.849302009668074	-0.00439589404896625	0.0532719306998555	0.167263739733582	0.999336306249414
RPL5	34.4370978310973	0.0196925103126601	0.0560246835751518	0.190873853587103	0.999336306249414
MTF2	0.68024474727111	0.000260107034138543	0.0530225392336506	0.971994054234892	0.999336306249414
TMED5	0.864240279339212	0.00415841801855181	0.0532678786052259	0.117844537353422	0.999336306249414
DR1	1.01668580732897	0.000332076862166679	0.0530056109431335	0.911291305997428	0.999336306249414
DNTTIP2	1.0593557583166	-0.000117934562369004	0.0529874401141048	0.96231528109644	0.999336306249414
DPYD	1.00122960769343	-0.00139698845035554	0.0530263685955279	0.657890015594717	0.999336306249414
S1PR1	0.716245606440693	0.00221671881432569	0.0531179882114318	0.370583869553074	0.999336306249414
RNPC3	0.569148020104867	-0.00318597189301309	0.0531662007060552	0.248826098786352	0.999336306249414
VAV3	1.36129730258536	0.00347581398761821	0.0531282856372003	0.351661619077038	0.999336306249414
SLC25A24	0.74726523353866	-0.00375998378309498	0.053204409556861	0.229217934401527	0.999336306249414
PRPF38B	1.77435081629941	0.00336667927327495	0.0531123104362262	0.378771946447413	0.999336306249414
SARS	0.761439036114305	-0.000922233532133196	0.0530474694479816	0.703091088447397	0.999336306249414
GNAI3	0.87963014869152	7.49783776730405e-05	0.0530219343582086	0.982077994388604	0.999336306249414
LAMTOR5	2.91565169626842	-0.00792281313114701	0.0537049026146043	0.137661648039296	0.999336306249414
CD53	5.26646723293806	-0.00451573599978452	0.0529977475611853	0.468797061328268	0.999336306249414
DRAM2	1.82807135485299	0.00640564975215228	0.0534779397301615	0.164026507880785	0.999336306249414
CEPT1	0.918104693377588	6.24174209063156e-06	0.0530209480936516	0.995453559491741	0.999336306249414
WDR77	0.643191014852264	0.00279115472936649	0.0531220050748635	0.321142615808573	0.999336306249414
ATP5PB	3.02167430507437	-0.00446329186798807	0.0531350517738528	0.372158493399816	0.999336306249414
C1orf162	3.90149564433777	-0.00376174203134957	0.0531040534714523	0.404348720413024	0.999336306249414
RAP1A	1.79099606067322	0.00373008182463755	0.0531427850629916	0.345056286129399	0.999336306249414
CAPZA1	2.6382002610277	-0.00319563103367867	0.0529995016236947	0.519585733588531	0.999336306249414
BCAS2	0.737367084720764	0.00039637010883683	0.0530070378644176	0.909595922575941	0.999336306249414
CSDE1	3.07651492179029	0.00468837371483428	0.0531651136645807	0.34679539324804	0.999336306249414
MAN1A2	0.869630941404843	-0.00224973648240808	0.0531021712394287	0.378748421471405	0.999336306249414
TENT5C	1.420654417888	0.00104021733164866	0.053018202853705	0.739716582662652	0.999336306249414
NOTCH2	1.03317528005156	-0.00329639864288942	0.053155838671942	0.294199084994398	0.999336306249414
RBM8A	2.88969575972584	-0.00399411691923463	0.0530949429597952	0.403555985595686	0.999336306249414
POLR3GL	1.0750926459011	-0.000390076962696432	0.0529935690732182	0.90456524947693	0.999336306249414
TXNIP	23.5975271605776	-0.00314695150592585	0.0525398995347481	0.705267790328763	0.999336306249414
NBPF10	1.12285951141091	-0.00221826444806005	0.0530534287326443	0.515412076690072	0.999336306249414
NBPF14	1.44235804067626	-0.0021540941580578	0.0530410122089647	0.534290213168939	0.999336306249414
PDE4DIP	0.737850389873338	-0.00145139301539331	0.0530523938486815	0.609224033365105	0.999336306249414
SF3B4	1.33298830129759	-0.0018625425003514	0.0530050259625056	0.615150814878833	0.999336306249414
PLEKHO1	1.2226857405198	1.172103760982e-05	0.0530012605747702	0.996454363328853	0.999336306249414
ANP32E	0.809639556740796	-0.000854999990211794	0.0530237183660021	0.765504968875672	0.999336306249414
APH1A	1.85456928783996	0.00316086122024963	0.0530830217859264	0.426261927497368	0.999336306249414
MRPS21	3.12110752904982	0.00058271019324696	0.0527880244644928	0.924218402269104	0.999336306249414
MCL1	2.99990017433499	-0.00549013143534294	0.0533339060672425	0.218725873394114	0.999336306249414
ENSA	1.96452196667692	0.00266390237147397	0.0530459041397473	0.494115996402798	0.999336306249414
CTSS	11.314524793466	0.00462195938757428	0.053254241749582	0.230745788927404	0.999336306249414
CDC42SE1	2.41239183009	0.00256907046114077	0.0529931227891859	0.570808143305591	0.999336306249414
SCNM1	0.864992164967957	-0.00162320508205485	0.0530756148882079	0.500114615364063	0.999336306249414
VPS72	0.602685407933874	0.000565654740723901	0.0530438206402497	0.831956682236201	0.999336306249414
PSMD4	1.43252808140398	-0.00729204508245082	0.0537066981011747	0.062277563225816	0.999336306249414
RFX5	0.890304449695496	-0.00540172040693805	0.0534162355041249	0.0834010968336419	0.999336306249414
PSMB4	1.02286021044542	0.00223856791917162	0.0530872674080118	0.434244931362661	0.999336306249414
SNX27	0.660346470510113	-0.0018123321412866	0.0530768262384644	0.478630824001662	0.999336306249414
S100A10	5.8926185307324	0.00240145676553282	0.0531194289813414	0.329798986472589	0.999336306249414
S100A11	10.5296872676221	0.00134850824431865	0.0530986321240606	0.333422361962775	0.999336306249414
S100A9	5.29549012747113	0.0028922506399156	0.0531981547398108	0.0266372527899295	0.999336306249414
S100A8	3.77026463421976	0.00284215022317211	0.0531884114696212	0.0878537800276617	0.999336306249414
S100A6	20.9681834563763	0.00197843377656266	0.0531005540430693	0.386414418709819	0.999336306249414
S100A4	28.4490677022197	0.00185338027624191	0.0531130202374045	0.298191424725804	0.999336306249414
ILF2	1.3733232895145	-0.00725738680571657	0.0537128784362569	0.0487343074295176	0.999336306249414
CRTC2	0.615791536530009	-0.00276110787746556	0.0531410269037289	0.27218097315513	0.999336306249414
JTB	2.57418578435053	0.00237998214417864	0.0529690368681903	0.603064166977665	0.999336306249414
RPS27	144.025212930388	0.00301441633727008	0.050969274222282	0.838062579778824	0.999336306249414
TPM3	7.96886266817113	-0.00258234198302339	0.0527600771420623	0.697473957857703	0.999336306249414
C1orf43	1.26518044407027	0.000495568880253768	0.0530059863408492	0.85629102024236	0.999336306249414
HAX1	0.784946624009141	-0.00198117083888335	0.0530997955486772	0.37740603937167	0.999336306249414
ADAR	1.21885044964754	-0.00142530628600272	0.0530193366489155	0.663020645501324	0.999336306249414
PBXIP1	0.880728190366352	-0.000729813251238259	0.0530042689725637	0.817429622034902	0.999336306249414
SLC50A1	1.56773932661416	0.000149293871504086	0.0530089110717244	0.960130245470225	0.999336306249414
DPM3	0.639971539567099	-0.00129480011068799	0.0530649466953813	0.573973810512101	0.999336306249414
KRTCAP2	2.5972457917503	-0.00118970507645477	0.0528803534222718	0.808260207268859	0.999336306249414
SCAMP3	0.661233907358296	-0.00546905679558054	0.0534281834764011	0.0737884977587835	0.999336306249414
FDPS	1.12728269977518	-0.000972281163181498	0.0530118843684674	0.755748944391051	0.999336306249414
ASH1L	1.64495258218973	-0.00349212800402875	0.0531317280645422	0.341992092450495	0.999336306249414
DAP3	1.07980890590639	0.00140097966192417	0.0530136911215142	0.677561241420561	0.999336306249414
GON4L	0.913890669875428	-0.00440563950858242	0.053261903659727	0.188381514630142	0.999336306249414
SSR2	3.53955381896927	0.000699602680762067	0.0527733500473877	0.906296952637813	0.999336306249414
LAMTOR2	0.840574859896717	0.00100331397207882	0.0530700950916842	0.762862780528296	0.999336306249414
CCT3	1.59384766205922	-0.00231392021487196	0.0530409433623796	0.543567637368804	0.999336306249414
NAXE	0.821583235327668	-0.000802988701797502	0.0530397143047408	0.757727935973457	0.999336306249414
HDGF	0.719363689072153	0.00163237083558562	0.0530648233564767	0.515677267556031	0.999336306249414
FCRL5	1.63629620958288	-0.00169216429542472	0.0530279921800805	0.606959195192026	0.999336306249414
FCRL3	0.998100254655194	0.00443467598316683	0.053294484260744	0.0936457086168764	0.999336306249414
FCRL2	1.36284360575607	0.00458389519837095	0.0532959447041868	0.135408975621314	0.999336306249414
FCRL1	4.24448823658703	-0.00878038779778816	0.0538964827178707	0.106902631890794	0.999336306249414
CD1C	0.925082662966001	0.000951289679488038	0.0530493070509711	0.688690859000657	0.999336306249414
IFI16	2.88116314296788	0.00347387919212328	0.0530292657169036	0.484400728786802	0.999336306249414
TAGLN2	11.4061179241149	0.0169115100313347	0.056748146810961	0.0142350876553631	0.999336306249414
COPA	0.797293580339899	-0.00513291282434854	0.0533993337560998	0.0590274281746707	0.999336306249414
NCSTN	0.868578901205614	-0.00462768004737193	0.0533003376970837	0.142175077759175	0.999336306249414
SLAMF6	0.794894535452817	-0.00109649754520495	0.0530525890863578	0.650855481980957	0.999336306249414
CD48	5.85163141942958	-0.00640563441360175	0.0532988057043243	0.299630636516081	0.999336306249414
LY9	0.880648746194421	-0.000625224464739427	0.0530217119441091	0.829503431600603	0.999336306249414
TSTD1	2.89621674006149	-0.000676513900393201	0.0529302140188218	0.870852846326021	0.999336306249414
USF1	0.729486546717619	0.000600200027631118	0.0530305493550456	0.82490628232687	0.999336306249414
ARHGAP30	1.99996669666065	0.00148152328475434	0.0529831331616237	0.691013877159285	0.999336306249414
PFDN2	1.38625529239496	-0.00132282695174564	0.0529825170178872	0.737059708445402	0.999336306249414
UFC1	1.83692085542072	0.00279435094546869	0.0530454080569312	0.496347917349359	0.999336306249414
NDUFS2	0.929319701038373	-0.00121895703417293	0.0530336337785305	0.67476833498881	0.999336306249414
SDHC	1.52972287780022	-0.0019558328979968	0.0530225400387219	0.587760466554435	0.999336306249414
FCGR2B	1.37880715056797	-0.0040567540120354	0.0532021400423484	0.256658322899313	0.999336306249414
FCRLA	5.59195543453122	-0.0182595763510828	0.057444882427349	0.00779272184897586	0.999336306249414
UHMK1	1.19070574184879	0.0034985353602837	0.0531565438641138	0.295701399374973	0.999336306249414
MGST3	1.20067353272916	0.000825016200873925	0.0530167555985138	0.776547739753578	0.999336306249414
ALDH9A1	0.800436707270619	-0.00673597458026105	0.053636498529261	0.0412588916502468	0.999336306249414
TMCO1	0.80278305617564	-0.00277004392364707	0.0531233508715229	0.334209283700493	0.999336306249414
RCSD1	4.85553912997274	-0.00181528193197122	0.0528466689458572	0.737298608471418	0.999336306249414
MPC2	0.996657421896863	-0.00266684512931293	0.0531043150074174	0.387402248284204	0.999336306249414
SFT2D2	1.3011630217778	-0.000387717055749493	0.0530273159449868	0.883060894581188	0.999336306249414
SELL	8.77660460680274	0.00665356998346635	0.0534119886969194	0.23725591508872	0.999336306249414
PRRC2C	4.10345182061259	-0.00807259203605367	0.0536905207083871	0.16117730664412	0.999336306249414
PRDX6	1.04225856568236	-0.00682590463741095	0.053653957652383	0.0384299477236865	0.999336306249414
RC3H1	1.06800794107413	0.00460625122242727	0.0532933436098123	0.137039258889327	0.999336306249414
RABGAP1L	1.86245026845397	0.00458965192623814	0.0532692532692484	0.203607314054138	0.999336306249414
CACYBP	1.15719085602	-0.0064129386888375	0.053560920231187	0.0652278457061479	0.999336306249414
MRPS14	0.60764282698048	0.00183599622310672	0.053092819596495	0.48048057359962	0.999336306249414
KIAA0040	1.59752241709587	-0.00137682899319527	0.0529840089563426	0.707863727089448	0.999336306249414
RALGPS2	6.59208137260678	-0.0157798663990973	0.0561229041950678	0.0309533990282226	0.999336306249414
TOR1AIP1	0.750403385417424	-0.000593620742280213	0.0530365728773112	0.811137659224223	0.999336306249414
CEP350	1.08499091596649	-0.000680871612307743	0.0529991963309967	0.834803149500294	0.999336306249414
ACBD6	0.986208849797323	-0.000921835583389039	0.0530292762945589	0.737936992788555	0.999336306249414
IER5	1.05056642705807	0.00548658941401628	0.053428135496822	0.0584259914625572	0.999336306249414
GLUL	1.44208936282696	0.00447990159526083	0.0532924483807042	0.113584422236489	0.999336306249414
DHX9	1.4396133511481	-0.011333686334031	0.0547552932249986	0.00841491328166857	0.999336306249414
ARPC5	5.43048875124722	0.00220168396300504	0.052844761343414	0.701369675690871	0.999336306249414
TPR	2.65648280889367	-0.00961647614067734	0.0541360896487402	0.0698200645173127	0.999336306249414
TROVE2	0.909968421725925	0.00189912377025454	0.0530521499105214	0.535793917744203	0.999336306249414
PTPRC	12.593200621234	-0.00147548675505033	0.0523920202522178	0.862482795250875	0.999336306249414
ADIPOR1	0.718842495657899	0.00170708421235963	0.0530901004174186	0.492824346689919	0.999336306249414
TMEM183A	0.715189302403981	0.000369131970592208	0.0530273549486458	0.891400532135338	0.999336306249414
BTG2	2.62174768715202	0.00811488764257093	0.0537730380201943	0.115286331960514	0.999336306249414
SNRPE	1.22198241264067	0.000669514718104559	0.0529999898701773	0.816468314326608	0.999336306249414
MDM4	1.57538206530592	-0.000269936123035857	0.0529623579462397	0.942207155795845	0.999336306249414
NUAK2	0.834994114054966	0.00401733168671176	0.0532551893788229	0.123331697009349	0.999336306249414
NUCKS1	3.08363184357405	-0.00212309789844795	0.0529295015141068	0.657282188996321	0.999336306249414
RASSF5	1.40311138638514	0.00121705678161854	0.0530258871352749	0.684893925085163	0.999336306249414
