"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Nhood"	"SpatialFDR"	"finalIdent"	"finalIdent_fraction"
"1525"	6.50445500184501	8.67374331684817	17.778265191789	0.000407358608575664	0.0542275779735924	1525	0.0545182195532216	"CD8 Activated"	1
"1312"	4.13559154588534	7.71900884468677	17.3057301982231	0.000465414640557647	0.0595730739913788	1312	0.0600148126705619	"CD8 Activated"	0.944690265486726
"279"	7.02964103923637	9.02815635949003	17.1610223773182	0.000484973960338844	0.0597775311113952	279	0.0601349123595551	"CD8 Activated"	0.996587030716723
"2220"	4.38979372622492	7.95576240857339	16.8303709677248	0.000533155999181216	0.0633693987598245	2220	0.0639490206634574	"CD8 Activated"	1
"558"	5.75395690951889	8.36662372634035	16.4939661729085	0.000587650581055142	0.0652766477474866	558	0.0662895292612586	"CD8 Activated"	1
"925"	4.49364683851897	8.20112835474787	16.2894309573419	0.000623769167952062	0.0652766477474866	925	0.0662895292612586	"CD8 Activated"	1
"3003"	6.14466580069078	8.49667547748053	16.1101708194301	0.000657443729188275	0.0652766477474866	3003	0.0662895292612586	"CD8 Activated"	0.996661101836394
"2854"	4.6121252778187	8.25704886801707	16.0873591992747	0.000661870856839758	0.0652766477474866	2854	0.0662895292612586	"CD8 Activated"	0.995348837209302
"1314"	6.10561689074575	8.1296691116769	16.0505513773675	0.000669083752814417	0.0652766477474866	1314	0.0662895292612586	"CD8 Activated"	0.991304347826087
"2837"	4.56529009357807	7.46867575860262	16.0238162149413	0.000674377140470578	0.0652766477474866	2837	0.0662895292612586	"CD8 Activated"	0.979328165374677
"261"	5.69649395856152	8.7859862507861	15.9634338605719	0.000686503206478975	0.0652766477474866	261	0.0662895292612586	"CD8 Activated"	0.994557823129252
"3273"	4.83971007320019	8.2984530366881	15.7573554217643	0.000729734219136603	0.0674598744801837	3273	0.0685834731169185	"CD8 Activated"	1
"1633"	3.39619653680735	7.5771759796018	15.3386694107583	0.000797061997596329	0.0709208776088205	1633	0.0723273592467692	"CD8 Activated"	0.98019801980198
"1064"	4.96703953871556	8.78952331302472	15.4090456062914	0.000809793674619946	0.0709208776088205	1064	0.0723273592467692	"CD8 Activated"	0.997282608695652
"942"	4.20629904194401	7.70974147667991	15.1862900622874	0.000866051707870531	0.0716692066804926	942	0.0730023453662973	"CD8 Activated"	0.958415841584158
"921"	5.19729010875571	8.30675749650224	15.1526352004606	0.000874920309723582	0.0716692066804926	921	0.0730023453662973	"CD8 Activated"	0.996138996138996
"488"	6.66030835357693	8.72313808923542	15.1225095187889	0.000882943952494049	0.0716692066804926	488	0.0730023453662973	"CD8 Activated"	0.997146932952924
"2290"	5.88967871256909	8.40789105477436	14.8999589777071	0.000944795735575026	0.0731369815522103	2290	0.0744374257608132	"CD8 Activated"	0.994642857142857
"1825"	6.18206751880976	8.33672303461977	14.8993235946193	0.000944979028469064	0.0731369815522103	1825	0.0744374257608132	"CD8 Activated"	0.992409867172676
"1908"	3.9189450590363	8.03290193463866	14.498036134502	0.00106898114435844	0.0808538465551114	1908	0.0823528876965654	"CD8 Activated"	0.9921875
"2683"	5.45062622905019	7.99306610675705	14.358344178153	0.00111627773789819	0.0825549402605597	2683	0.0841312692047517	"CD8 Activated"	0.992647058823529
"2560"	3.54937648288334	8.06203309284596	14.1864366616779	0.00117282115272502	0.0845018700730723	2560	0.0864908782677788	"CD8 Activated"	0.939341421143847
"839"	4.41541671127335	8.086700935397	14.1161717538217	0.00120384256509321	0.0845018700730723	839	0.0864908782677788	"CD8 Activated"	0.99780701754386
"569"	4.7146749470978	7.84869040195404	14.0570347667037	0.00122635970948684	0.0845018700730723	569	0.0864908782677788	"CD8 Activated"	0.998134328358209
"3025"	4.44123739830151	7.32477404850334	14.0017631695126	0.00124782604834301	0.0845018700730723	3025	0.0864908782677788	"CD8 Activated"	0.988980716253444
"754"	4.7453314853004	8.51236693820371	13.8847898191751	0.00129463740894054	0.0845018700730723	754	0.0864908782677788	"CD8 Activated"	1
"455"	4.66824970422963	7.9030939414427	13.8840231840253	0.00129495053297076	0.0845018700730723	455	0.0864908782677788	"CD8 Activated"	0.994614003590664
"3269"	4.50569367350977	7.73607916727967	13.7540465272063	0.00134926720211309	0.0858073019442094	3269	0.087889176562265	"CD8 Activated"	0.98
"1079"	4.34573119305091	8.28878811575405	13.7139613658137	0.00136652253697209	0.0858073019442094	1079	0.087889176562265	"CD8 Activated"	1
"1896"	4.55073172028244	7.85438953880345	13.5678102453389	0.0014315309518074	0.0882247223632413	1896	0.0903714814334922	"CD8 Activated"	1
"2054"	4.46916744843243	8.11969824578411	13.4786028394971	0.00147288511296605	0.089074780712443	2054	0.0913628209188129	"CD8 Activated"	0.993576017130621
"2478"	4.03809063895456	8.1352027285154	13.4239855336315	0.00149885448314207	0.089074780712443	2478	0.0913989579166719	"CD8 Activated"	1
"354"	4.29483704066241	8.69394131652382	12.9236590115187	0.0017617638530066	0.102862282505368	354	0.105568528598097	"CD8 Activated"	1
"1869"	2.63165257877214	7.86254540892371	12.5182049643146	0.00195625482923446	0.112248552960212	1869	0.115456447732056	"CD8 Activated"	0.834605597964377
"545"	4.33679758072661	7.9276250142735	12.3860593540135	0.00210240490452139	0.117473761057373	545	0.120739582206617	"CD8 Activated"	0.998248686514886
"3272"	4.1979494441791	8.33841426333235	12.3639192239161	0.00211791636521706	0.117473761057373	3272	0.120739582206617	"CD8 Activated"	0.998585572842999
