"gene"	"log2FC"	"pval"	"adjp"
"PAFAH2"	"0.428980658852696"	"7.47049318332116e-15"	1.95640873837552e-13
"RGS18"	"-2.16399903429761"	"8.20925817984081e-15"	2.13868278206061e-13
"ZBTB2"	"0.340022558488588"	"8.40084519813913e-15"	2.17725532026383e-13
"DDAH2"	"-0.549120970501147"	"9.34502905049683e-15"	2.40947604693738e-13
"LST1"	"-0.670409507466275"	"9.69956769925601e-15"	2.47536926692238e-13
"MT-ATP8"	"-0.525625076237869"	"1.06166306191332e-14"	2.68203971499517e-13
"KIR3DL2"	"-1.39876409997913"	"1.09577499851362e-14"	2.74115964231982e-13
"GOLGA8A"	"-0.622697286146996"	"1.09602544674923e-14"	2.74115964231982e-13
"CTSW"	"0.387147361173883"	"1.19944014421502e-14"	2.98487542356395e-13
"NOP14-AS1"	"0.407175717369299"	"1.28494576058371e-14"	3.18183103685135e-13
"FBXW4"	"0.355816499376782"	"1.31244183871237e-14"	3.23390841243314e-13
"CD4"	"-1.88309582635801"	"1.33340577259933e-14"	3.2694586639911e-13
"ZNF121"	"-0.500900875110797"	"1.38374023646184e-14"	3.35993624406899e-13
"TTYH3"	"-1.87624562797935"	"1.59047300773011e-14"	3.82478172339712e-13
"SLC35B3"	"-0.397754999615597"	"1.6212906486986e-14"	3.88023723674182e-13
"MVB12B"	"0.34570606185559"	"2.3304955778128e-14"	5.52471036977234e-13
"GRK5"	"-0.587136922765504"	"2.52106113476079e-14"	5.94827726229881e-13
"FAM219B"	"-0.416703405879376"	"2.71270867564148e-14"	6.37040788523882e-13
"TET2"	"-0.469094999755309"	"2.79916492754922e-14"	6.54272101289776e-13
"CLPTM1L"	"0.33766249635574"	"2.87327742745358e-14"	6.6847133451734e-13
"ABI3"	"0.463529878772808"	"2.91866776534422e-14"	6.75887785289435e-13
"F13A1"	"-2.03537772781753"	"3.02149830604168e-14"	6.96476245475598e-13
"LINC02384"	"0.572314279867885"	"3.1399873225828e-14"	7.20468650805466e-13
"MHENCR"	"-0.373055620711773"	"3.2567555315245e-14"	7.43848911812125e-13
"AC004585.1"	"-1.64928230453257"	"3.31599997578581e-14"	7.53937812676392e-13
"CRIP2"	"-1.85680842863723"	"3.35931141362304e-14"	7.60329216784726e-13
"AREG"	"-1.78921310250015"	"3.51389962321506e-14"	7.91735401591069e-13
"PIK3CA"	"-0.454884583507451"	"3.70971158862237e-14"	8.28391846709335e-13
"PGGHG"	"-0.559411020542206"	"3.74851518096632e-14"	8.3333657489749e-13
"RPL26"	"0.0741984545059046"	"3.82732362075066e-14"	8.47091714645788e-13
"NCR1"	"1.12959366632053"	"3.86727136807589e-14"	8.49966935883645e-13
"NAA30"	"-0.392442170737953"	"3.96917744155332e-14"	8.66979282211778e-13
"VPS50"	"-0.408519440734341"	"4.11619818211713e-14"	8.95183622041299e-13
"RAD1"	"0.35732895306528"	"4.15917883385684e-14"	9.00615260907009e-13
"EPHX2"	"-1.42506180778674"	"4.52717864454981e-14"	9.76075326725782e-13
"HPGD"	"-1.585701146906"	"4.73549171771087e-14"	1.0166064193987e-12
"MTRNR2L8"	"-0.799805354745891"	"4.75974473716577e-14"	1.01744628954287e-12
"STK11IP"	"0.458494059474162"	"5.25177115973752e-14"	1.11784507834073e-12
"CYBA"	"0.0938947165277476"	"5.30638505265824e-14"	1.12468381497443e-12
"DTNBP1"	"0.281096123177146"	"6.16394903145428e-14"	1.30093135254575e-12
"NUDT3"	"-0.350768063660228"	"7.19432460762023e-14"	1.5120172977864e-12
"RBM5"	"-0.318952816377947"	"7.45810770822962e-14"	1.56089768855919e-12
"JAKMIP2"	"0.388408145491224"	"8.92644042942161e-14"	1.86041895949862e-12
"AKAP7"	"-0.495686616679639"	"9.34780366233218e-14"	1.94015410452222e-12
"CCDC152"	"-1.20905890578391"	"9.58777146846226e-14"	1.98173689608464e-12
"IFI44L"	"-1.48544297185054"	"9.73273580392001e-14"	2.00342158400032e-12
"COLQ"	"-1.54080779922781"	"1.06288557155643e-13"	2.17891542169068e-12
"CD55"	"-0.767161463200309"	"1.13530302539531e-13"	2.30844948497046e-12
"DPYD"	"-0.299907057537234"	"1.17061127426381e-13"	2.37060631330671e-12
"AK5"	"-2.30200529269505"	"1.18644941034099e-13"	2.39299191553453e-12
"PAG1"	"-0.732073252659706"	"1.20085736502317e-13"	2.41232471479755e-12
"RAP1B"	"0.226813292971415"	"1.24449582412432e-13"	2.48006697699994e-12
"TLE1"	"-1.69220083417908"	"1.2429351002828e-13"	2.48006697699994e-12
"PELI1"	"-0.690641955572288"	"1.26367163943427e-13"	2.49837373140325e-12
"SH2D1B"	"-2.64836824015757"	"1.33626797821419e-13"	2.62118134393231e-12
"CAPG"	"-1.82577591101685"	"1.39899867525032e-13"	2.72287602085685e-12
