"gene"	"log2FC"	"pval"	"adjp"
"VPS13C"	"-0.0851208871293466"	"1.16614607222149e-05"	1.9983085485618e-05
"BTAF1"	"-0.114118259822287"	"1.18037595633819e-05"	2.02200018274097e-05
"KIR3DL1"	"0.458515684291592"	"1.18931150633779e-05"	2.03660943331107e-05
"FCRL2"	"-2.70751862693086"	"1.19890673669585e-05"	2.05233795241364e-05
"ZBTB18"	"-0.476040739738925"	"1.21147745143044e-05"	2.07314752379578e-05
"BHLHE40"	"0.1622432668064"	"1.22777652750932e-05"	2.09960280020568e-05
"BCOR"	"-0.155136282086581"	"1.22777652750932e-05"	2.09960280020568e-05
"ZNF791"	"-0.115299917234476"	"1.2905583504358e-05"	2.20621082326722e-05
"PLAC8"	"-0.196915426360704"	"1.30623313954542e-05"	2.23224399180259e-05
"RUFY2"	"0.0986145148132004"	"1.36870569014873e-05"	2.33820555400408e-05
"IFT88"	"-0.184967414865354"	"1.38112188750536e-05"	2.35861102127068e-05
"GADD45B"	"-0.117248671999362"	"1.40839322100932e-05"	2.40436276160021e-05
"ATG2A"	"0.102233893742146"	"1.42543004229055e-05"	2.43261721990356e-05
"IFRD1"	"-0.20104246783531"	"1.46448437457256e-05"	2.49841433888538e-05
"TREM1"	"-1.51438458992531"	"1.46533582233114e-05"	2.49901458687363e-05
"ADARB1"	"-0.273086493604599"	"1.46888619505439e-05"	2.50336243531927e-05
"CYB561D2"	"-0.106513929933196"	"1.46888619505439e-05"	2.50336243531927e-05
"TIMM44"	"-0.142470884878562"	"1.47109183362102e-05"	2.50626749038568e-05
"CASP3"	"-0.136013498609757"	"1.47772771393693e-05"	2.51585909636233e-05
"PTBP2"	"-0.145157726419589"	"1.47772771393693e-05"	2.51585909636233e-05
"KLHL28"	"-0.0759062471347457"	"1.5023043095449e-05"	2.55683094805838e-05
"PPP3CC"	"-0.0506971583109823"	"1.52270182630023e-05"	2.59066480787543e-05
"PLXND1"	"0.528083527249451"	"1.54336322348752e-05"	2.6249244623885e-05
"MARCO"	"-2.43150963385245"	"1.54510074386305e-05"	2.62698637688748e-05
"RHOH"	"-0.160697876057411"	"1.54799080479394e-05"	2.6310057783144e-05
"TMEM181"	"-0.134973157584223"	"1.55263161222474e-05"	2.63799705310739e-05
"LINC00877"	"-1.28367642731959"	"1.57271878813443e-05"	2.67121880415906e-05
"ZNF700"	"-0.187915569312887"	"1.61418208676e-05"	2.74071242293738e-05
"CENPB"	"-0.143425740584558"	"1.61901185752273e-05"	2.7479800852829e-05
"DNAJB1"	"0.0605001016351133"	"1.69061013535238e-05"	2.86755913768484e-05
"DAPK2"	"-0.262126353467311"	"1.69060886615524e-05"	2.86755913768484e-05
"FOXP3"	"-1.24522526326295"	"1.69378670922967e-05"	2.8719732608701e-05
"STAP1"	"-1.74980871941275"	"1.72212751159132e-05"	2.91903822872917e-05
"PHF23"	"-0.167283166005142"	"1.72367635880678e-05"	2.92067383020038e-05
