"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Nhood"	"SpatialFDR"	"finalIdent"	"finalIdent_fraction"
"386"	3.9280110263057	7.07242380668287	21.309691359819	7.11297417516827e-05	0.0114022211415293	386	0.0128304383144801	"CD8 Activated"	0.971496437054632
"1192"	4.06692165624003	7.3485974394146	21.2213710952289	7.3055299993525e-05	0.0114022211415293	1192	0.0128304383144801	"CD8 Activated"	0.947572815533981
"738"	4.38173911628053	7.27014278203187	21.1658179081165	7.42950155828151e-05	0.0114022211415293	738	0.0128304383144801	"CD8 Activated"	0.995893223819302
"1636"	6.20415963201302	7.06089516159587	20.9757474943539	7.87099026419662e-05	0.0116444371781685	1636	0.0130826991541746	"CD8 Activated"	1
"1585"	4.4846722265548	8.05753563160156	20.9187304169021	8.00884367005257e-05	0.0116444371781685	1585	0.0130826991541746	"CD8 Activated"	0.998872604284104
"2430"	3.97278302584881	7.95303113892828	20.710695227745	8.53417068188161e-05	0.0120900751326656	2430	0.0135565995766899	"CD8 Activated"	0.985276073619632
"2608"	4.01220144265663	7.69652623145139	20.5956259560944	8.84049345676962e-05	0.012210931587163	2608	0.0136791199570916	"CD8 Activated"	0.986937590711176
"275"	3.5386525997263	7.15575034197654	20.4565192593393	9.2172828074795e-05	0.012373168065071	275	0.0138804416903253	"CD8 Activated"	0.882775119617225
"3006"	4.72466961393488	7.21241478540024	20.3940521508608	9.40584721688652e-05	0.012373168065071	3006	0.0138804416903253	"CD8 Activated"	0.959051724137931
"1269"	3.52928565794848	8.54642904881695	20.1435822668853	0.000101628605052932	0.013029421300586	1269	0.0143390280165511	"CD8 Activated"	0.988381742738589
"2840"	3.57696229295361	7.77352060883443	20.063327574812	0.000103763717144938	0.013029421300586	2840	0.0143390280165511	"CD4 Naive"	0.800550206327373
"232"	4.97463914276075	8.16146938619992	19.8986430812672	0.000109665967638053	0.0132951759242203	232	0.0144159625101013	"CD8 Activated"	0.998952879581152
"1245"	4.96741950896951	7.80331427658989	19.8451708845283	0.000111509573096148	0.0132951759242203	1245	0.0144159625101013	"CD8 Activated"	1
"4802"	2.67658380307249	7.57207880441582	19.6850980428183	0.000113099234106489	0.0132951759242203	4802	0.0144159625101013	"Mixed"	0.462757527733756
"944"	4.1433059120885	7.57503140874995	19.6495516189459	0.000118542236823709	0.0134138776061749	944	0.0145717883642371	"CD8 Activated"	0.998287671232877
"29"	3.94421769929415	7.68170554510002	19.5968754710823	0.000120516157969615	0.0134138776061749	29	0.0145717883642371	"CD8 Activated"	0.971036585365854
"1821"	4.12007037950116	7.21285150806882	19.5737834168664	0.000121392557521945	0.0134138776061749	1821	0.0145717883642371	"CD8 Activated"	0.997727272727273
"1209"	3.98751451503394	7.54645402186201	19.4583094004955	0.000125878721274095	0.0134583977909563	1209	0.0146347704649498	"CD8 Activated"	0.986531986531986
"1071"	5.87347888767421	7.47093778126929	19.4384682563469	0.000126667273326647	0.0134583977909563	1071	0.0146347704649498	"CD8 Activated"	1
"4714"	4.28240799815686	7.59698864867225	19.190994511492	0.000136960035833232	0.013722763748403	4714	0.0149402169089021	"CD8 Activated"	1
"342"	3.78240313941215	8.00311500098345	19.1490721032186	0.000138790702931324	0.013722763748403	342	0.0149402169089021	"CD8 Activated"	1
"3560"	4.41279035299626	6.79426409199675	19.094046078546	0.000141233474010881	0.013722763748403	3560	0.0149402169089021	"CD8 Activated"	0.963076923076923
"1338"	6.26019648750357	7.64894208071835	19.0654273638885	0.000142522120847676	0.013722763748403	1338	0.0149402169089021	"CD8 Activated"	1
"2271"	4.61451583970664	7.64575874490836	19.0390151962346	0.000143722594990607	0.013722763748403	2271	0.0149402169089021	"CD8 Activated"	0.96030534351145
"3258"	5.1465641950134	7.60199896744923	19.0316786426781	0.000144057972381425	0.013722763748403	3258	0.0149402169089021	"CD8 Activated"	0.992805755395683
"4951"	3.52705541827882	7.2081248763949	18.957231174979	0.00014750903320737	0.0138133459062834	4951	0.0150686398270035	"CD8 Activated"	0.987179487179487
"4101"	4.94152514113769	7.08397825533918	18.8137620178617	0.000154412068419435	0.0142187779669563	4101	0.0155338616472135	"CD8 Activated"	0.997333333333333
"5289"	3.80736097694219	7.56638739675925	18.4852282750804	0.000171558388566418	0.0155386901119584	5289	0.0169802751345197	"CD8 Activated"	1
"127"	3.32171009964188	7.8709188235464	18.3364849104673	0.000178653872426677	0.015920365244474	127	0.0173869783048635	"CD8 Activated"	0.968337730870712
"519"	3.96012419306827	7.87885923118682	18.302324091048	0.000181979349049668	0.0159593000555463	519	0.0174143023732578	"CD8 Activated"	0.972074468085106
"116"	3.74764156436988	7.01027318006388	18.2048716984149	0.000187806998700381	0.0161850097333111	116	0.0176996751059144	"CD8 Activated"	0.95049504950495
"3876"	3.71265619400447	6.72807271911238	18.1391368386934	0.000191850729061672	0.0161850097333111	3876	0.0176996751059144	"CD8 Activated"	0.981884057971015
"2358"	4.3500312095391	7.36171153018179	18.1152800896413	0.000193341292741816	0.0161850097333111	2358	0.0176996751059144	"CD8 Activated"	0.973282442748092
"789"	4.10252547157908	7.1121774809335	17.9195047610506	0.000206052659808272	0.0169916559021	789	0.0186047133730507	"CD8 Activated"	0.985882352941176
"1672"	3.37729963758794	7.63111362615151	17.5103553884199	0.000235604788070067	0.0189899375021676	1672	0.020600101757672	"CD4 Naive"	0.818731117824773
"577"	3.65611935073221	7.89515632688092	17.4903795673065	0.000237159400479559	0.0189899375021676	577	0.020600101757672	"CD8 Activated"	0.998484848484849
"5047"	4.05458529891654	7.06245401000823	17.3488244918156	0.000248496041340698	0.0196134375486765	5047	0.0212714180181885	"CD8 Activated"	1
"724"	3.12978959027958	7.45669939921591	17.2402841640049	0.000252894070993514	0.019679432989284	724	0.0213792602487119	"CD8 Activated"	0.985239852398524
"5046"	3.93160723074115	6.93642866628653	17.2520859471319	0.000256576964515652	0.0196887184576247	5046	0.0213792602487119	"CD8 Activated"	0.911764705882353
"2694"	3.80972700060716	7.85667899875824	16.9973385872676	0.000279235882801443	0.0210778547561424	2694	0.0228826247440704	"CD8 Activated"	0.998639455782313
