sample	MLH1_expr
tcga_b5_a0js_01	17.426
tcga_a5_a0g3_01	17.434
tcga_ax_a3g4_01	17.434
tcga_kp_a3w1_01	17.44
tcga_fl_a1yq_11	17.443
tcga_a5_a0g5_01	17.448
tcga_b5_a0kb_01	17.451
tcga_d1_a15w_01	17.453
tcga_b5_a11n_01	17.459
tcga_b5_a11z_01	17.461
tcga_fi_a3px_01	17.461
tcga_ax_a1ck_01	17.466
tcga_ap_a1e4_01	17.468
tcga_b5_a3f9_01	17.473
tcga_d1_a0zv_01	17.477
tcga_ey_a1gt_01	17.479
tcga_a5_a0gj_01	17.482
tcga_ey_a54a_01	17.482
tcga_b5_a11w_01	17.488
tcga_eo_a1y8_01	17.489
tcga_ax_a0j0_11	17.491
tcga_b5_a11m_01	17.492
tcga_aj_a2qm_01	17.495
tcga_a5_a0gr_01	17.496
tcga_ax_a05z_01	17.496
tcga_ax_a1ck_11	17.496
tcga_d1_a17n_01	17.5
tcga_d1_a174_01	17.508
tcga_kp_a3w0_01	17.515
tcga_b5_a0jt_01	17.516
tcga_b5_a3s1_01	17.517
tcga_b5_a0k1_01	17.519
tcga_b5_a5od_01	17.52
tcga_a5_a0gm_01	17.521
tcga_ax_a2h8_11	17.522
tcga_bg_a186_01	17.522
tcga_ap_a053_01	17.528
tcga_d1_a16g_01	17.53
tcga_bg_a0w1_01	17.535
tcga_d1_a16q_01	17.536
tcga_bg_a0yu_01	17.541
tcga_aj_a3i9_01	17.546
tcga_bg_a0m3_01	17.546
tcga_ap_a0li_01	17.547
tcga_d1_a0zn_01	17.553
tcga_bg_a0lw_01	17.554
tcga_d1_a0zr_01	17.554
tcga_aj_a23n_01	17.558
tcga_d1_a3da_01	17.563
tcga_eo_a3ay_01	17.564
tcga_bg_a3pp_11	17.565
tcga_bk_a6w4_01	17.565
tcga_ey_a1gw_01	17.566
tcga_ey_a2on_01	17.571
tcga_ap_a0ll_01	17.573
tcga_d1_a16y_01	17.575
tcga_bg_a0m7_01	17.576
tcga_bg_a2ad_11	17.578
tcga_bs_a0v8_01	17.581
tcga_b5_a1mr_01	17.583
tcga_fl_a1yn_11	17.585
tcga_d1_a165_01	17.586
tcga_a5_a0ge_01	17.587
tcga_ap_a0lm_01	17.587
tcga_aj_a3bh_01	17.593
tcga_bg_a0vx_01	17.594
tcga_bk_a13c_01	17.597
tcga_d1_a0zp_01	17.599
tcga_d1_a16v_01	17.599
tcga_ap_a0lj_01	17.602
tcga_ey_a1gs_01	17.604
tcga_eo_a1y5_01	17.605
tcga_a5_a1ok_01	17.608
tcga_di_a2qy_11	17.608
tcga_fi_a2ew_01	17.61
tcga_ey_a1gm_01	17.611
tcga_ey_a3l3_01	17.621
tcga_fl_a1yl_11	17.625
tcga_aj_a3bi_01	17.628
tcga_ax_a3ft_01	17.631
tcga_bg_a0mt_01	17.632
tcga_ap_a0lv_01	17.634
tcga_bs_a0u5_01	17.634
tcga_bk_a56f_01	17.636
tcga_fi_a2f8_01	17.637
tcga_ey_a2oo_01	17.64
tcga_ax_a1ci_11	17.641
tcga_d1_a16b_01	17.645
tcga_a5_a7wk_01	17.647
tcga_aj_a3em_01	17.65
tcga_a5_a0gu_01	17.651
tcga_aj_a3ne_11	17.651
tcga_eo_a3as_01	17.652
tcga_a5_a0ra_01	17.653
tcga_ax_a1cf_11	17.656
tcga_aj_a3bk_01	17.657
tcga_b5_a3fc_01	17.667
tcga_d1_a15z_01	17.667
tcga_d1_a16e_01	17.667
tcga_ax_a1cf_01	17.668
tcga_aj_a8ct_01	17.669
tcga_d1_a16r_01	17.671
tcga_d1_a16d_01	17.675
tcga_bg_a0mi_01	17.677
tcga_bg_a3ew_11	17.681
tcga_a5_a2k3_01	17.683
tcga_ax_a05u_01	17.685
tcga_bk_a26l_01	17.688
tcga_b5_a1my_01	17.689
tcga_pg_a7d5_01	17.689
tcga_bk_a0cc_01	17.69
tcga_ey_a212_01	17.69
tcga_fl_a1yh_11	17.69
tcga_d1_a1o0_01	17.696
tcga_fi_a2cy_01	17.696
tcga_bs_a0tc_01	17.701
tcga_ax_a1cc_01	17.706
tcga_ax_a2hd_11	17.711
tcga_b5_a1mw_01	17.711
tcga_eo_a22r_01	17.712
tcga_fi_a2f9_01	17.713
tcga_bg_a2ad_01	17.715
tcga_4e_a92e_01	17.72
tcga_di_a2qu_01	17.722
tcga_ax_a06b_01	17.725
tcga_di_a2qu_11	17.727
tcga_aj_a3ng_01	17.729
tcga_di_a2qy_01	17.733
tcga_ey_a1ge_01	17.735
tcga_b5_a11v_01	17.737
tcga_df_a2kv_01	17.737
tcga_b5_a121_01	17.738
tcga_b5_a1mv_01	17.739
tcga_ax_a05y_11	17.74
tcga_fi_a2eu_01	17.741
tcga_a5_a0r6_01	17.742
tcga_pg_a916_01	17.742
tcga_sj_a6zi_01	17.743
tcga_bg_a222_01	17.746
tcga_aj_a3nf_01	17.747
tcga_a5_a0gp_01	17.748
tcga_fl_a1yg_11	17.749
tcga_b5_a0jx_01	17.751
tcga_d1_a17s_01	17.751
tcga_aj_a3ia_01	17.76
tcga_aj_a3nh_01	17.76
tcga_bg_a0m2_01	17.76
tcga_d1_a16o_01	17.762
tcga_d1_a0zu_01	17.766
tcga_d1_a0zq_01	17.769
tcga_fl_a3we_11	17.769
tcga_ax_a0iu_01	17.775
tcga_d1_a16j_01	17.778
tcga_pg_a914_01	17.779
